0	-40	0.1	0.03	0.7	0.05	0.5	0.1	0.001
0.01	-117.488	0.137241	0.0298468	0.699349	0.0500386	0.500052	0.1	0.00100025
0.02	-164.211	-4.63946	0.354483	0.700797	0.0499199	0.500175	0.1	0.00100067
0.03	-124915	11288.7	208.577	0.718585	0.0496509	0.500353	0.1	0.00100119
0.04	6.19738e+20	-inf	nan	nan	nan	nan	0.1	0.00128064
0.05	nan	nan	nan	nan	nan	nan	0.1	nan
0.06	nan	nan	nan	nan	nan	nan	0.1	nan
0.07	nan	nan	nan	nan	nan	nan	0.1	nan
0.08	nan	nan	nan	nan	nan	nan	0.1	nan
0.09	nan	nan	nan	nan	nan	nan	0.1	nan
0.1	nan	nan	nan	nan	nan	nan	0.1	nan
0.11	nan	nan	nan	nan	nan	nan	0.1	nan
0.12	nan	nan	nan	nan	nan	nan	0.1	nan
0.13	nan	nan	nan	nan	nan	nan	0.1	nan
0.14	nan	nan	nan	nan	nan	nan	0.1	nan
0.15	nan	nan	nan	nan	nan	nan	0.1	nan
0.16	nan	nan	nan	nan	nan	nan	0.1	nan
0.17	nan	nan	nan	nan	nan	nan	0.1	nan
0.18	nan	nan	nan	nan	nan	nan	0.1	nan
0.19	nan	nan	nan	nan	nan	nan	0.1	nan
0.2	nan	nan	nan	nan	nan	nan	0.1	nan
0.21	nan	nan	nan	nan	nan	nan	0.1	nan
0.22	nan	nan	nan	nan	nan	nan	0.1	nan
0.23	nan	nan	nan	nan	nan	nan	0.1	nan
0.24	nan	nan	nan	nan	nan	nan	0.1	nan
0.25	nan	nan	nan	nan	nan	nan	0.1	nan
0.26	nan	nan	nan	nan	nan	nan	0.1	nan
0.27	nan	nan	nan	nan	nan	nan	0.1	nan
0.28	nan	nan	nan	nan	nan	nan	0.1	nan
0.29	nan	nan	nan	nan	nan	nan	0.1	nan
0.3	nan	nan	nan	nan	nan	nan	0.1	nan
0.31	nan	nan	nan	nan	nan	nan	0.1	nan
0.32	nan	nan	nan	nan	nan	nan	0.1	nan
0.33	nan	nan	nan	nan	nan	nan	0.1	nan
0.34	nan	nan	nan	nan	nan	nan	0.1	nan
0.35	nan	nan	nan	nan	nan	nan	0.1	nan
0.36	nan	nan	nan	nan	nan	nan	0.1	nan
0.37	nan	nan	nan	nan	nan	nan	0.1	nan
0.38	nan	nan	nan	nan	nan	nan	0.1	nan
0.39	nan	nan	nan	nan	nan	nan	0.1	nan
0.4	nan	nan	nan	nan	nan	nan	0.1	nan
0.41	nan	nan	nan	nan	nan	nan	0.1	nan
0.42	nan	nan	nan	nan	nan	nan	0.1	nan
0.43	nan	nan	nan	nan	nan	nan	0.1	nan
0.44	nan	nan	nan	nan	nan	nan	0.1	nan
0.45	nan	nan	nan	nan	nan	nan	0.1	nan
0.46	nan	nan	nan	nan	nan	nan	0.1	nan
0.47	nan	nan	nan	nan	nan	nan	0.1	nan
0.48	nan	nan	nan	nan	nan	nan	0.1	nan
0.49	nan	nan	nan	nan	nan	nan	0.1	nan
0.5	nan	nan	nan	nan	nan	nan	0.1	nan
0.51	nan	nan	nan	nan	nan	nan	0.1	nan
0.52	nan	nan	nan	nan	nan	nan	0.1	nan
0.53	nan	nan	nan	nan	nan	nan	0.1	nan
0.54	nan	nan	nan	nan	nan	nan	0.1	nan
0.55	nan	nan	nan	nan	nan	nan	0.1	nan
0.56	nan	nan	nan	nan	nan	nan	0.1	nan
0.57	nan	nan	nan	nan	nan	nan	0.1	nan
0.58	nan	nan	nan	nan	nan	nan	0.1	nan
0.59	nan	nan	nan	nan	nan	nan	0.1	nan
0.6	nan	nan	nan	nan	nan	nan	0.1	nan
0.61	nan	nan	nan	nan	nan	nan	0.1	nan
0.62	nan	nan	nan	nan	nan	nan	0.1	nan
0.63	nan	nan	nan	nan	nan	nan	0.1	nan
0.64	nan	nan	nan	nan	nan	nan	0.1	nan
0.65	nan	nan	nan	nan	nan	nan	0.1	nan
0.66	nan	nan	nan	nan	nan	nan	0.1	nan
0.67	nan	nan	nan	nan	nan	nan	0.1	nan
0.68	nan	nan	nan	nan	nan	nan	0.1	nan
0.69	nan	nan	nan	nan	nan	nan	0.1	nan
0.7	nan	nan	nan	nan	nan	nan	0.1	nan
0.71	nan	nan	nan	nan	nan	nan	0.1	nan
0.72	nan	nan	nan	nan	nan	nan	0.1	nan
0.73	nan	nan	nan	nan	nan	nan	0.1	nan
0.74	nan	nan	nan	nan	nan	nan	0.1	nan
0.75	nan	nan	nan	nan	nan	nan	0.1	nan
0.76	nan	nan	nan	nan	nan	nan	0.1	nan
0.77	nan	nan	nan	nan	nan	nan	0.1	nan
0.78	nan	nan	nan	nan	nan	nan	0.1	nan
0.79	nan	nan	nan	nan	nan	nan	0.1	nan
0.8	nan	nan	nan	nan	nan	nan	0.1	nan
0.81	nan	nan	nan	nan	nan	nan	0.1	nan
0.82	nan	nan	nan	nan	nan	nan	0.1	nan
0.83	nan	nan	nan	nan	nan	nan	0.1	nan
0.84	nan	nan	nan	nan	nan	nan	0.1	nan
0.85	nan	nan	nan	nan	nan	nan	0.1	nan
0.86	nan	nan	nan	nan	nan	nan	0.1	nan
0.87	nan	nan	nan	nan	nan	nan	0.1	nan
0.88	nan	nan	nan	nan	nan	nan	0.1	nan
0.89	nan	nan	nan	nan	nan	nan	0.1	nan
0.9	nan	nan	nan	nan	nan	nan	0.1	nan
0.91	nan	nan	nan	nan	nan	nan	0.1	nan
0.92	nan	nan	nan	nan	nan	nan	0.1	nan
0.93	nan	nan	nan	nan	nan	nan	0.1	nan
0.94	nan	nan	nan	nan	nan	nan	0.1	nan
0.95	nan	nan	nan	nan	nan	nan	0.1	nan
0.96	nan	nan	nan	nan	nan	nan	0.1	nan
0.97	nan	nan	nan	nan	nan	nan	0.1	nan
0.98	nan	nan	nan	nan	nan	nan	0.1	nan
0.99	nan	nan	nan	nan	nan	nan	0.1	nan
